               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.030461,             0.14099,                   0,              0.8616,             0.93193,             0.93985,             0.63483,            0.028025,             0.12253,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.030033,             0.13851,                   0,             0.87202,             0.92763,             0.93915,             0.62605,            0.028086,             0.11656,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030173,             0.13881,                   0,             0.87754,             0.93393,             0.93976,             0.66454,            0.025259,             0.11245,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029416,             0.13526,                   0,             0.86755,             0.95095,             0.93541,             0.65697,            0.026109,              0.1117,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.029658,             0.13457,                   0,             0.87273,             0.92593,             0.93649,             0.62967,            0.027439,             0.11512,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.029404,             0.13682,                   0,             0.86121,             0.94413,             0.93081,             0.65679,             0.02483,             0.11061,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.028684,             0.13419,                   0,             0.86273,             0.93594,             0.93298,             0.64067,            0.025739,             0.11251,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029336,             0.13671,                   0,             0.85387,             0.92997,             0.93716,             0.65524,            0.026377,             0.11007,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029418,             0.13356,                   0,             0.87741,             0.92893,             0.92844,             0.65465,            0.025937,              0.1131,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.028362,             0.12892,                   0,             0.87843,             0.90408,             0.93129,             0.64938,            0.025778,             0.11551,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.029384,             0.13546,                   0,             0.87882,             0.90791,             0.94237,              0.6537,            0.025743,             0.11871,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.027901,             0.13049,                   0,             0.86826,             0.91792,             0.93835,             0.66536,            0.025841,             0.11217,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.027894,             0.13123,                   0,             0.85371,             0.92492,              0.9378,             0.66383,            0.025745,             0.11762,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.028814,             0.13361,                   0,             0.87522,             0.93382,             0.93964,             0.65997,            0.025169,             0.11641,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.028422,             0.13383,                   0,             0.87549,             0.92092,              0.9256,             0.65878,            0.024754,              0.1132,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028941,             0.13366,                   0,             0.87534,             0.92081,             0.93332,             0.63953,            0.025738,             0.11535,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027581,             0.13158,                   0,             0.87557,             0.92993,             0.93026,             0.65649,            0.024739,             0.11436,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028089,               0.132,                   0,             0.87414,             0.92192,               0.934,             0.64587,             0.02545,              0.1162,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.027267,             0.12926,                   0,             0.88201,             0.92192,             0.93482,             0.65384,            0.025677,              0.1137,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.027557,             0.12195,                   0,             0.88057,             0.90784,             0.93711,              0.6579,            0.025815,             0.11495,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.026933,             0.12612,                   0,             0.88448,             0.91971,             0.93457,             0.66277,            0.025668,             0.11507,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.027153,             0.12946,                   0,             0.86992,             0.93723,             0.93389,             0.66283,            0.024936,               0.113,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.026978,             0.13053,                   0,             0.87868,             0.92793,             0.93444,             0.65933,            0.024216,             0.11593,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.027215,             0.12847,                   0,             0.85457,             0.93894,             0.92945,              0.6473,            0.024172,             0.11549,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.026243,               0.125,                   0,             0.86802,             0.94144,             0.93404,             0.66395,            0.024224,              0.1133,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.026951,             0.12545,                   0,               0.878,              0.9221,             0.93731,             0.66338,            0.024569,             0.11346,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.026651,             0.12114,                   0,             0.87809,             0.93012,             0.93708,             0.66332,            0.024632,             0.11656,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.026058,             0.12683,                   0,             0.87509,             0.91866,             0.92579,             0.65837,             0.02379,             0.11381,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.026514,             0.12631,                   0,             0.82262,              0.9039,             0.91762,             0.65167,            0.023644,              0.1156,                   0,            0.003466,            0.003466,            0.003466
